snapped_at,price,market_cap,total_volume
2017-12-21 00:00:00 UTC,812.885159103535,78432622738.5783,1886649146.02117
2017-12-22 00:00:00 UTC,669.276492289395,64585322053.99,2635463381.90133
2017-12-23 00:00:00 UTC,715.719068265809,69087031853.6697,1292257943.85486
2017-12-24 00:00:00 UTC,686.208308919806,66252429575.9089,1224218821.95787
2017-12-25 00:00:00 UTC,733.902545910265,70871970751.0918,1242520658.38317
2017-12-26 00:00:00 UTC,774.110198124999,74770905370.1416,1046697072.25852
2017-12-27 00:00:00 UTC,764.967062014162,73903417373.3621,910830156.598811
2017-12-28 00:00:00 UTC,736.840047017461,71200955427.2237,1012380621.45529
2017-12-29 00:00:00 UTC,755.343641318154,73004412362.8661,1172554374.08768
2017-12-30 00:00:00 UTC,736.909191519636,71238101432.8975,1306193221.81905
2017-12-31 00:00:00 UTC,774.696255457107,74906560027.8485,1127368142.17048
2018-01-01 00:00:00 UTC,776.080330355968,75056629369.4547,1101627635.65143
2018-01-02 00:00:00 UTC,876.890258814416,84822222588.5437,2720973272.07018
2018-01-03 00:00:00 UTC,963.0557506903510,93178531120.43200,2308657205.9772100
2018-01-04 00:00:00 UTC,978.416104183522,94681149308.52460,2756635496.077740
2018-01-05 00:00:00 UTC,1004.8949722625600,97269228886.25310,2894788528.9368800
2018-01-06 00:00:00 UTC,1052.02336010703,101852997666.87300,1824841952.503010
2018-01-07 00:00:00 UTC,1137.6549188901800,110167827718.61100,2286423001.2638800
2018-01-08 00:00:00 UTC,1184.92393027798,114769005376.76200,4813539670.332470
2018-01-09 00:00:00 UTC,1361.4396682787100,131894965357.881,4248463429.84743
2018-01-10 00:00:00 UTC,1345.5876017375900,130387621608.28600,5901388488.269490
2018-01-11 00:00:00 UTC,1181.6514100305300,114526940296.8930,3701485302.9898300
2018-01-12 00:00:00 UTC,1315.6187580839800,127538307119.98100,2569674473.5809700
2018-01-13 00:00:00 UTC,1448.1800861342000,140419500475.92800,3149029707.9682400
2018-01-14 00:00:00 UTC,1410.0002145085200,136747164703.8490,2771837301.4899700
2018-01-15 00:00:00 UTC,1329.6713965043400,128980953671.9810,2438212396.6501800
2018-01-16 00:00:00 UTC,1068.6004106894200,103677753320.31000,5197858118.489890
2018-01-17 00:00:00 UTC,1022.3652131699700,99216267384.45850,5505023202.5208600
2018-01-18 00:00:00 UTC,1036.072312788030,100567876886.70800,3220457431.1306300
2018-01-19 00:00:00 UTC,1046.8985973958700,101640355096.62400,2067139497.7426800
2018-01-20 00:00:00 UTC,1172.9172062239500,113899479853.58600,1927757662.931300
2018-01-21 00:00:00 UTC,1053.6332024800400,102337202453.45800,1834167990.4392800
2018-01-22 00:00:00 UTC,1000.3871327788300,97186332455.0951,2128266201.553250
2018-01-23 00:00:00 UTC,991.665320638703,96359326865.87160,2162095341.3385800
2018-01-24 00:00:00 UTC,1056.8792325682200,102717867498.02900,1871168506.347740
