Date,Closing Price (USD)
7/18/15,275.30687
7/19/15,274.28387
7/20/15,279.45925
7/21/15,274.87242
7/22/15,276.2095
7/23/15,276.24491
7/24/15,287.55583
7/25/15,287.83983
7/26/15,291.20091
7/27/15,293.15058
7/28/15,292.99425
7/29/15,288.61658
7/30/15,286.74491
7/31/15,282.33741
8/1/15,278.68258
8/2/15,279.48591
8/3/15,283.49091
8/4/15,284.24366
8/5/15,280.9375
8/6/15,275.92866
8/7/15,278.2765
8/8/15,261.75225
8/9/15,265.0825
8/10/15,264.87516
8/11/15,270.22325
8/12/15,264.14299
8/13/15,262.01758
8/14/15,265.3955
8/15/15,261.20058
8/16/15,258.0065
8/17/15,256.44841
8/18/15,230.38424
8/19/15,232.06483
8/20/15,234.56375
8/21/15,233.03691
8/22/15,231.21275
8/23/15,227.23233
8/24/15,203.18133
8/25/15,219.81583
8/26/15,224.53608
8/27/15,224.18875
8/28/15,230.93575
8/29/15,230.58541
8/30/15,227.18083
8/31/15,229.02966
9/1/15,226.28841
9/2/15,228.35299
9/3/15,227.14741
9/4/15,229.66691
9/5/15,240.70116
9/6/15,239.88
9/7/15,242.01891
9/8/15,244.31383
9/9/15,237.99466
9/10/15,240.56366
9/11/15,239.81675
9/12/15,235.053
9/13/15,229.15808
9/14/15,230.51091
9/15/15,230.98066
9/16/15,229.58975
9/17/15,233.2385
9/18/15,232.50008
9/19/15,231.33733
9/20/15,230.75433
9/21/15,227.79358
9/22/15,231.30983
9/23/15,231.09508
9/24/15,233.74475
9/25/15,234.92466
9/26/15,234.32908
9/27/15,237.21116
9/28/15,238.56625
9/29/15,238.06125
9/30/15,237.15191
10/1/15,238.06358
10/2/15,237.63516
10/3/15,238.99883
10/4/15,238.82433
10/5/15,240.63075
10/6/15,246.49633
10/7/15,244.49816
10/8/15,243.25675
10/9/15,244.96533
10/10/15,245.07
10/11/15,247.65041
10/12/15,244.57641
10/13/15,249.45908
10/14/15,254.64216
10/15/15,255.72741
10/16/15,267.53983
10/17/15,270.04041
10/18/15,264.98625
10/19/15,264.92575
10/20/15,270.49541
10/21/15,267.46908
10/22/15,274.25325
10/23/15,279.97908
10/24/15,286.86941
10/25/15,284.286
10/26/15,287.83091
10/27/15,300.53566
10/28/15,304.32691
10/29/15,326.55691
10/30/15,327.58425
10/31/15,311.70274
11/1/15,325.64666
11/2/15,369.51133
11/3/15,432.46133
11/4/15,434.31683
11/5/15,359.586
11/6/15,377.64099
11/7/15,387.775
11/8/15,370.652
11/9/15,376.948
11/10/15,311.702
11/11/15,320.036
11/12/15,337.893
11/13/15,334.125
11/14/15,333.951
11/15/15,320.06
11/16/15,337.759
11/17/15,333.33299
11/18/15,334.02499
11/19/15,315.63099
11/20/15,321.482
11/21/15,326.365
11/22/15,322.606
11/23/15,320.993
11/24/15,318.337
11/25/15,332.471
11/26/15,349.138
11/27/15,354.954
11/28/15,356.806
11/29/15,375.204
11/30/15,377.798
12/1/15,352.128
12/2/15,366.788
12/3/15,358.443
12/4/15,369.956
12/5/15,394.861
12/6/15,391.618
12/7/15,395.59299
12/8/15,421.424
12/9/15,415.076
12/10/15,421.813
12/11/15,467.831
12/12/15,435.091
12/13/15,437.021
12/14/15,453.676
12/15/15,445.805
12/16/15,451.102
12/17/15,456.425
12/18/15,464.218
12/19/15,460.238
12/20/15,435.64099
12/21/15,438.276
12/22/15,437.994
12/23/15,456.572
12/24/15,455.743
12/25/15,447.606
12/26/15,419.338
12/27/15,427.817
12/28/15,422.741
12/29/15,431.029
12/30/15,424.962
12/31/15,432.358
1/1/16,433.773
1/2/16,431.985
1/3/16,431.691
1/4/16,433.732
1/5/16,427.164
1/6/16,441.021
1/7/16,457.168
1/8/16,452.368
1/9/16,445.327
1/10/16,450.312
1/11/16,446.614
1/12/16,431.156
1/13/16,431.41
1/14/16,416.29
1/15/16,372.737
1/16/16,383.138
1/17/16,380.817
1/18/16,382.738
1/19/16,378.775
1/20/16,417.439
1/21/16,403.271
1/22/16,388.219
1/23/16,388.538
1/24/16,397.885
1/25/16,390.715
1/26/16,392.389
1/27/16,381.356
1/28/16,369.133
1/29/16,376.952
1/30/16,378.174
1/31/16,372.157
2/1/16,372.453
2/2/16,372.762
2/3/16,370.433
2/4/16,386.954
2/5/16,377.889
2/6/16,376.44
2/7/16,376.924
2/8/16,372.434
2/9/16,374.764
2/10/16,379.186
2/11/16,378.576
2/12/16,388.87
2/13/16,397.23
2/14/16,405.621
2/15/16,401.663
2/16/16,407.017
2/17/16,417.492
2/18/16,421.956
2/19/16,422.054
2/20/16,439.61
2/21/16,436.14
2/22/16,438.745
2/23/16,419.896
2/24/16,422.617
2/25/16,421.244
2/26/16,433.401
2/27/16,425.502
2/28/16,438.28
2/29/16,436.426
3/1/16,434.001
3/2/16,419.254
3/3/16,421.597
3/4/16,407.722
3/5/16,397.883
3/6/16,407.276
3/7/16,414.213
3/8/16,410.739
3/9/16,411.672
3/10/16,416.708
3/11/16,415.04
3/12/16,411.637
3/13/16,414.208
3/14/16,416.034
3/15/16,414.167
3/16/16,417.138
3/17/16,417.154
3/18/16,407.473
3/19/16,409.24
3/20/16,407.496
3/21/16,415.125
3/22/16,417.318
3/23/16,415.837
3/24/16,414.75699
3/25/16,416.851
3/26/16,416.233
3/27/16,424.297
3/28/16,423.597
3/29/16,414.613
3/30/16,414.458
3/31/16,416.012
4/1/16,418.785
4/2/16,418.93999
4/3/16,418.593
4/4/16,422.044
4/5/16,422.29499
4/6/16,420.553
4/7/16,421.616
4/8/16,415.751
4/9/16,418.078
4/10/16,421.192
4/11/16,426.383
4/12/16,426.84399
4/13/16,425.494
4/14/16,426.279
4/15/16,429.775
4/16/16,430.453
4/17/16,429.318
4/18/16,428.522
4/19/16,435.926
4/20/16,443.758
4/21/16,446.776
4/22/16,447.233
4/23/16,455.152
4/24/16,458.626
4/25/16,464.429
4/26/16,466.064
4/27/16,441.304
4/28/16,446.236
4/29/16,454.375
4/30/16,449.108
5/1/16,453.067
5/2/16,443.681
5/3/16,449.157
5/4/16,447.73999
5/5/16,447.58599
5/6/16,458.864
5/7/16,459.937
5/8/16,458.708
5/9/16,460.954
5/10/16,454.39399
5/11/16,451.155
5/12/16,453.701
5/13/16,456.039
5/14/16,456.093
5/15/16,457.64099
5/16/16,454.278
5/17/16,454.064
5/18/16,453.494
5/19/16,440.231
5/20/16,442.953
5/21/16,442.892
5/22/16,440.551
5/23/16,444.489
5/24/16,447.035
5/25/16,448.278
5/26/16,467.262
5/27/16,489.847
5/28/16,516.051
5/29/16,529.917
5/30/16,537.23299
5/31/16,528.04999
6/1/16,538.568
6/2/16,537.185
6/3/16,571.139
6/4/16,579.343
6/5/16,578.84899
6/6/16,585.399
6/7/16,576.226
6/8/16,580.43599
6/9/16,574.953
6/10/16,583.87
6/11/16,633.205
6/12/16,682.226
6/13/16,695.155
6/14/16,685.442
6/15/16,732.357
6/16/16,773.25
6/17/16,736.386
6/18/16,747.831
6/19/16,758.903
6/20/16,702.696
6/21/16,657.013
6/22/16,581.249
6/23/16,657.08999
6/24/16,687.168
6/25/16,657.22399
6/26/16,644.091
6/27/16,655.94399
6/28/16,634.357
6/29/16,635.093
6/30/16,683.293
7/1/16,678.567
7/2/16,690.179
7/3/16,670.741
7/4/16,679.351
7/5/16,676.872
7/6/16,671.814
7/7/16,640.476
7/8/16,654.85299
7/9/16,649.356
7/10/16,656.747
7/11/16,648.136
7/12/16,663.443
7/13/16,654.018
7/14/16,663.638
7/15/16,666.56499
7/16/16,665.113
7/17/16,681.239
7/18/16,673.832
7/19/16,673.008
7/20/16,662.034
7/21/16,666.747
7/22/16,654.725
7/23/16,654.895
7/24/16,660.284
7/25/16,655.418
7/26/16,650.82899
7/27/16,656.91599
7/28/16,655.427
7/29/16,656.681
7/30/16,635.588
7/31/16,621.37299
8/1/16,601.227
8/2/16,555.926
8/3/16,578.52374
8/4/16,570.33875
8/5/16,574.87375
8/6/16,588.51625
8/7/16,589.66125
8/8/16,586.715
8/9/16,585.23875
8/10/16,594.81625
8/11/16,581.9625
8/12/16,584.87375
8/13/16,581.65
8/14/16,571.9625
8/15/16,567.60749
8/16/16,575.54125
8/17/16,572.37249
8/18/16,573.01625
8/19/16,573.08
8/20/16,581.35375
8/21/16,579.6675
8/22/16,585.5075
8/23/16,577.98749
8/24/16,574.5825
8/25/16,575.0625
8/26/16,575.3425
8/27/16,568.78875
8/28/16,574.49749
8/29/16,571.94125
8/30/16,573.78125
8/31/16,572.96
9/1/16,570.1
9/2/16,572.52125
9/3/16,596.45375
9/4/16,606.0525
9/5/16,604.465
9/6/16,609.4325
9/7/16,613.67499
9/8/16,623.6
9/9/16,620.59875
9/10/16,622.03375
9/11/16,604.8275
9/12/16,607.03625
9/13/16,606.885
9/14/16,606.8975
9/15/16,605.52125
9/16/16,606.04625
9/17/16,605.08
9/18/16,609.37249
9/19/16,606.7175
9/20/16,595.93375
9/21/16,596.225
9/22/16,595.0175
9/23/16,602.4075
9/24/16,601.36875
9/25/16,598.9075
9/26/16,605.0175
9/27/16,602.885
9/28/16,603.58124
9/29/16,604.52125
9/30/16,610.58375
10/1/16,613.23749
10/2/16,611.88874
10/3/16,609.495
10/4/16,608.125
10/5/16,610.57
10/6/16,610.23375
10/7/16,617.445
10/8/16,614.59625
10/9/16,615.91625
10/10/16,618.3275
10/11/16,637.21624
10/12/16,637.73625
10/13/16,635.88375
10/14/16,638.975
10/15/16,638.605
10/16/16,636.635
10/17/16,637.01625
10/18/16,634.605
10/19/16,626.36875
10/20/16,629.61249
10/21/16,630.61875
10/22/16,650.895
10/23/16,647.69375
10/24/16,652.235
10/25/16,657.05625
10/26/16,684.3775
10/27/16,684.2975
10/28/16,700.135
10/29/16,704.91
10/30/16,693.89625
10/31/16,708.955
11/1/16,725.6925
11/2/16,741.84875
11/3/16,701.21875
11/4/16,702.175
11/5/16,705.47875
11/6/16,705.47125
11/7/16,706.13375
11/8/16,728.36125
11/9/16,719.2525
11/10/16,714.57125
11/11/16,715.7725
11/12/16,694.72125
11/13/16,704.62125
11/14/16,711.39625
11/15/16,710.9275
11/16/16,745.92625
11/17/16,738.665
11/18/16,748.8075
11/19/16,752.5525
11/20/16,730.365
11/21/16,734.84
11/22/16,745.97875
11/23/16,739.81875
11/24/16,730.3125
11/25/16,737.4025
11/26/16,727.445
11/27/16,731.9
11/28/16,731.12625
11/29/16,731.64
11/30/16,744.1025
12/1/16,766.5925
12/2/16,769.915
12/3/16,764.3575
12/4/16,760.1
12/5/16,754.82625
12/6/16,758.35375
12/7/16,763.23625
12/8/16,766.8725
12/9/16,773.2825
12/10/16,765.9525
12/11/16,769.8275
12/12/16,774.38625
12/13/16,778.35625
12/14/16,776.9825
12/15/16,776.415
12/16/16,786.9725
12/17/16,789.24625
12/18/16,791
12/19/16,789.2325
12/20/16,805.79625
12/21/16,842.63875
12/22/16,910.9325
12/23/16,910.2475
12/24/16,870.13125
12/25/16,905.45625
12/26/16,900.36625
12/27/16,948.89875
12/28/16,971.645
12/29/16,954.84375
12/30/16,952.455
12/31/16,964.325
1/1/17,1009.97375
1/2/17,1028.33375
1/3/17,1047.09999
1/4/17,1140.385
1/5/17,985.93875
1/6/17,837.83625
1/7/17,923.52375
1/8/17,889.33875
1/9/17,905.22625
1/10/17,910.60625
1/11/17,772.66125
1/12/17,784.89375
1/13/17,820.68875
1/14/17,821.19625
1/15/17,830.74
1/16/17,848.58125
1/17/17,890.29375
1/18/17,888.0625
1/19/17,896.16375
1/20/17,920.58875
1/21/17,934.7775
1/22/17,920.365
1/23/17,912.2125
1/24/17,898.55
1/25/17,901.05
1/26/17,912.84375
1/27/17,919.795
1/28/17,920.82875
1/29/17,916.91125
1/30/17,921.35125
1/31/17,973.065
2/1/17,982.8275
2/2/17,1020.09
2/3/17,1011.215
2/4/17,1029.40124
2/5/17,1019.3125
2/6/17,1029.40875
2/7/17,1067.70875
2/8/17,1072.205
2/9/17,974.95875
